questionText,questionType,option1,option1Correct,option2,option2Correct,option3,option3Correct,option4,option4Correct,points
"Kinetics is a branch of Dynamics that deals with:",multiple-choice,"Motion without considering force",FALSE,"Study of forces causing motion",TRUE,"Motion in a straight line only",FALSE,"Study of objects at rest",FALSE,1
"Which unit system uses Newton (N) as the unit of force?",multiple-choice,"CGS System",FALSE,"FPS System",FALSE,"SI System",TRUE,"US Customary System",FALSE,1
"What is the correct SI unit of force?",multiple-choice,"kg.m/s²",TRUE,"g.cm/s²",FALSE,"lb.ft/s²",FALSE,"kg.cm/s²",FALSE,1
"Which of the following is a fundamental concept in Engineering Mechanics?",multiple-choice,"Force",TRUE,"Temperature",FALSE,"Pressure",FALSE,"Sound",FALSE,1
"A particle is defined as a body that has:",multiple-choice,"Mass but negligible size",TRUE,"No mass and no size",FALSE,"No force acting on it",FALSE,"Infinite size",FALSE,1
"A rigid body is defined as a body in which:",multiple-choice,"Internal stresses are ignored",FALSE,"The relative positions of any two particles do not change",TRUE,"Only rotational motion is considered",FALSE,"Forces do not affect the motion",FALSE,1
"What does the Principle of Transmissibility of Forces state?",multiple-choice,"A force can be replaced by another force of the same magnitude and direction along the same line of action",TRUE,"Forces cannot be transmitted between points on a rigid body",FALSE,"Internal stresses remain the same when a force is transmitted",FALSE,"A force applied anywhere on a body does not affect its motion",FALSE,1
"A particle is in equilibrium when the resultant force acting on it is:",multiple-choice,"Greater than zero",FALSE,"Less than zero",FALSE,"Equal to zero",TRUE,"Infinity",FALSE,1
"According to Newton's First Law, if the resultant force on a particle is zero, the particle will:",multiple-choice,"Stop moving",FALSE,"Accelerate",FALSE,"Remain at rest or move with constant velocity",TRUE,"Move in a circular path",FALSE,1
"The equation representing the equilibrium condition of a particle is:",multiple-choice,"∑F = ma",FALSE,"∑F = m/a",FALSE,"∑F = 0",TRUE,"∑F = mg",FALSE,1
"Which of the following is a method used to find equilibrium of forces?",multiple-choice,"Lami's theorem",TRUE,"Pythagoras theorem",FALSE,"Newton's third law",FALSE,"Bernoulli's principle",FALSE,1
"Lami's theorem states that if three forces acting at a point are in equilibrium, each force is proportional to:",multiple-choice,"The tangent of the angle between the other two forces",FALSE,"The sine of the angle between the other two forces",TRUE,"The cosine of the angle between the other two forces",FALSE,"The logarithm of the angle between the other two forces",FALSE,1
"Friction is a force that:",multiple-choice,"Enhances motion",FALSE,"Opposes motion",TRUE,"Has no effect on motion",FALSE,"Acts only in liquids",FALSE,1
"The force of friction always acts:",multiple-choice,"In the direction of motion",FALSE,"Opposite to the direction of motion",TRUE,"Perpendicular to the motion",FALSE,"In any random direction",FALSE,1
"Which of the following is NOT a type of friction?",multiple-choice,"Static friction",FALSE,"Rolling friction",FALSE,"Sliding friction",FALSE,"Magnetic friction",TRUE,1
"Static friction is defined as the friction that:",multiple-choice,"Acts when a body is at rest",TRUE,"Acts when a body is in motion",FALSE,"Does not exist in nature",FALSE,"Increases as the body accelerates",FALSE,1
"Dynamic friction is also called:",multiple-choice,"Sliding friction",FALSE,"Kinetic friction",TRUE,"Limiting friction",FALSE,"Normal reaction",FALSE,1
"Rolling friction is usually:",multiple-choice,"Greater than sliding friction",FALSE,"Less than sliding friction",TRUE,"Equal to sliding friction",FALSE,"Equal to static friction",FALSE,1
"The limiting friction is:",multiple-choice,"The minimum force required to stop an object",FALSE,"The maximum force before the object starts moving",TRUE,"The average force acting on an object",FALSE,"The normal reaction of a body",FALSE,1
"The normal reaction is denoted by:",multiple-choice,"F",FALSE,"R or N",TRUE,"μ",FALSE,"W",FALSE,1
"The coefficient of friction (μ) is given by the ratio of:",multiple-choice,"Applied force to normal reaction",FALSE,"Normal reaction to limiting friction",FALSE,"Limiting friction to normal reaction",TRUE,"Weight to normal reaction",FALSE,1
"The angle at which a body just begins to slide down an inclined plane is called:",multiple-choice,"Angle of repose",TRUE,"Angle of friction",FALSE,"Angle of inclination",FALSE,"Angle of resistance",FALSE,1
